"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"1","BOS","402,445","5,295",28.1,25.7,96,96,3,0,0,"$86,000","Barrow",1920,"0"
"2","BRO","808,722","10,368",30.1,28.8,103,102,3,0,0,"$95,275","Robinson",1920,"0"
"3","BSN","162,483","2,196",27.9,26.9,94,96,1,0,0,"$86,300","Stallings",1920,"0"
"4","CHC","480,783","6,244",29.3,30.1,101,101,1,0,0,"$121,640","Mitchell",1920,"0"
"5","CHW","833,492","10,825",29.4,29.6,100,99,3,0,0,"$111,650","Gleason",1920,"0"
"6","CIN","568,107","7,378",29.1,27.8,99,97,1,0,0,"$131,206","Moran",1920,"0"
"7","CLE","912,832","11,703",29.3,28.6,104,101,3,0,0,"$86,100","Speaker",1920,"0"
"8","DET","579,650","7,431",29,27.2,97,98,2,0,0,"$72,900","Jennings",1920,"0"
"9","NYG","929,609","11,620",26.9,28.7,100,96,4,0,1,"$113,598","McGraw",1920,"0"
"10","NYY","1,289,422","16,746",27.7,29,104,101,1,0,2,"$134,025","Huggins",1920,"0"
"11","PHA","287,888","3,739",24.7,25.1,100,106,0,0,1,"$57,800","Mack",1920,"0"
"12","PHI","330,998","4,299",28.9,26.3,103,108,3,0,0,"$96,600","Cravath",1920,"0"
"13","PIT","429,037","5,500",27.6,29.3,103,103,4,0,1,"$105,950","Gibson",1920,"0"
"14","SLB","419,311","5,376",28.5,27.1,102,103,1,0,0,"$66,590","Burke",1920,"0"
"15","STL","326,836","4,300",26.4,27.2,98,98,2,0,0,"$98,950","Rickey",1920,"0"
"16","WSH","359,260","4,727",27.2,25.7,97,98,3,0,0,"$77,000","Griffith",1920,"0"
"17","BOS","279,273","3,627",29.5,27.1,97,99,1,0,0,"$97,200","Duffy",1921,"0"
"18","BRO","613,245","7,862",30.4,28.4,105,104,2,0,0,"$124,275","Robinson",1921,"0"
"19","BSN","318,627","4,306",28.1,26.5,94,96,1,0,0,"$81,600","Mitchell",1921,"0"
"20","CHC","410,107","5,396",27.9,27,100,101,1,0,0,"$127,918","Evers and Killefer",1921,"0"
"21","CHW","543,650","7,060",28.6,27.5,98,98,4,0,0,"$111,300","Gleason",1921,"0"
"22","CIN","311,227","4,095",28.5,30,95,94,3,0,0,"$135,866","Moran",1921,"0"
"23","CLE","748,705","9,723",29.1,28.2,102,100,3,0,1,"$76,100","Speaker",1921,"0"
"24","DET","661,527","8,591",29.1,27.9,99,100,2,0,0,"$93,000","Cobb",1921,"0"
"25","NYG","973,477","12,322",27,29.1,101,98,5,0,1,"$128,058","McGraw",1921,"0"
"26","NYY","1,230,696","15,778",27.7,27.4,102,98,3,0,1,"$167,400","Huggins",1921,"0"
"27","PHA","344,430","4,473",24.9,24.3,100,104,0,0,1,"$59,000","Mack",1921,"0"
"28","PHI","273,961","3,605",28.1,26,107,111,1,0,0,"$87,067","Donovan and Wilhelm",1921,"0"
"29","PIT","701,567","9,231",28.4,29,102,101,4,0,2,"$104,600","Gibson",1921,"0"
"30","SLB","355,978","4,623",27.8,27.2,106,105,1,0,0,"$78,100","Fohl",1921,"0"
"31","STL","384,773","4,933",27.2,27.3,97,96,2,0,0,"$130,350","Rickey",1921,"0"
